baseline_train_accuracy,baseline_train_losss,baseline_test_loss,baseline_test_accuracy
tensor(0.3616),669.904790520668,120.4648951292038,tensor(0.4553)
tensor(0.5470),489.3460282087326,89.52193385362625,tensor(0.5996)
tensor(0.6465),387.1897048354149,68.2982656955719,tensor(0.7023)
tensor(0.7139),318.6579180955887,62.36039811372757,tensor(0.7311)
tensor(0.7598),271.43754413723946,55.25269240140915,tensor(0.7690)
tensor(0.7868),243.4813571870327,60.56242913007736,tensor(0.7401)
tensor(0.8036),224.05996638536453,50.38908410072327,tensor(0.7865)
tensor(0.8194),209.6370611190796,46.942113012075424,tensor(0.7992)
tensor(0.8259),199.43977177143097,45.996699541807175,tensor(0.8036)
tensor(0.8328),191.4679529964924,42.03857401013374,tensor(0.8202)
tensor(0.8386),186.15346828103065,43.506679609417915,tensor(0.8179)
tensor(0.8436),180.97800689935684,40.200223833322525,tensor(0.8295)
tensor(0.8478),175.75767365098,41.75145536661148,tensor(0.8219)
tensor(0.8530),169.73240506649017,39.437355905771255,tensor(0.8304)
tensor(0.8572),165.82964554429054,37.75599145889282,tensor(0.8444)
tensor(0.8566),165.02256974577904,38.12808558344841,tensor(0.8368)
tensor(0.8585),161.8772794008255,40.16102975606918,tensor(0.8305)
tensor(0.8630),159.15403328835964,40.8856520652771,tensor(0.8248)
tensor(0.8663),154.83248749375343,39.35932521522045,tensor(0.8320)
tensor(0.8654),155.22185806930065,39.30341348052025,tensor(0.8339)
tensor(0.8672),151.81670919060707,35.3477962911129,tensor(0.8523)
tensor(0.8688),150.74450638890266,38.463345766067505,tensor(0.8409)
tensor(0.8693),149.08552481234074,34.77064052224159,tensor(0.8527)
tensor(0.8736),146.98389187455177,35.82780845463276,tensor(0.8463)
tensor(0.8748),144.81857304275036,38.46768021583557,tensor(0.8374)
tensor(0.8752),144.14121632277966,37.99765209853649,tensor(0.8432)
tensor(0.8767),142.30185569822788,37.508534386754036,tensor(0.8377)
tensor(0.8784),140.54116390645504,32.77283741533756,tensor(0.8573)
tensor(0.8784),141.01684959232807,37.13353183865547,tensor(0.8431)
tensor(0.8789),140.16718098521233,34.84485000371933,tensor(0.8527)
tensor(0.8795),141.09827010333538,35.765448451042175,tensor(0.8493)
tensor(0.8811),137.80402387678623,34.905158177018166,tensor(0.8540)
tensor(0.8780),138.80011223256588,39.446953386068344,tensor(0.8382)
tensor(0.8779),141.66162613034248,32.68327748775482,tensor(0.8600)
tensor(0.8817),136.23479461669922,35.41979444026947,tensor(0.8532)
tensor(0.8829),135.0482288748026,33.91138830780983,tensor(0.8600)
tensor(0.8826),135.2510088980198,38.43719932436943,tensor(0.8442)
tensor(0.8811),136.87338416278362,37.226177752017975,tensor(0.8426)
tensor(0.8845),133.7071177661419,35.29985274374485,tensor(0.8512)
tensor(0.8811),135.9334910362959,37.676046043634415,tensor(0.8449)
tensor(0.8855),132.28551125526428,38.70672285556793,tensor(0.8337)
tensor(0.8816),136.5404446274042,35.596799492836,tensor(0.8517)
tensor(0.8824),135.30231343209743,35.25825172662735,tensor(0.8540)
tensor(0.8857),131.63259960711002,35.759236976504326,tensor(0.8522)
tensor(0.8840),133.2777760475874,36.26012036204338,tensor(0.8456)
tensor(0.8875),131.7961392402649,35.622677475214005,tensor(0.8548)
tensor(0.8872),130.02912604808807,36.33026024699211,tensor(0.8501)
tensor(0.8853),132.69299711287022,36.919867262244225,tensor(0.8530)
tensor(0.8854),132.50890956819057,37.94471123814583,tensor(0.8416)
tensor(0.8857),130.34127624332905,34.731678277254105,tensor(0.8541)
tensor(0.8848),130.8057246953249,36.258482187986374,tensor(0.8476)
tensor(0.8860),131.15992632508278,34.70338976383209,tensor(0.8506)
tensor(0.8865),130.49207451939583,33.420057490468025,tensor(0.8607)
tensor(0.8868),130.68400441110134,32.86627472937107,tensor(0.8627)
tensor(0.8865),130.19545325636864,33.47180977463722,tensor(0.8584)
tensor(0.8866),130.80007575452328,38.57059985399246,tensor(0.8427)
tensor(0.8891),128.00797213613987,34.86631804704666,tensor(0.8528)
tensor(0.8891),127.30270338058472,37.201981127262115,tensor(0.8461)
tensor(0.8856),130.8073062747717,35.19304043054581,tensor(0.8580)
tensor(0.8884),128.89736437797546,33.79726496338844,tensor(0.8589)
tensor(0.8888),127.46007287502289,31.839846938848495,tensor(0.8630)
tensor(0.8884),128.6023823171854,35.9478522837162,tensor(0.8465)
tensor(0.8874),129.20828569680452,40.61150115728378,tensor(0.8306)
tensor(0.8900),127.32944940030575,33.848335295915604,tensor(0.8598)
tensor(0.8884),126.83120487630367,35.202137634158134,tensor(0.8508)
tensor(0.8880),128.28326140344143,31.95618037879467,tensor(0.8662)
tensor(0.8864),129.50708444416523,34.971409142017365,tensor(0.8539)
tensor(0.8924),125.345881909132,39.27357539534569,tensor(0.8346)
tensor(0.8917),124.76395979523659,32.33583740890026,tensor(0.8671)
tensor(0.8922),125.68197230994701,35.48985332250595,tensor(0.8509)
tensor(0.8897),126.40130946040154,37.28028303384781,tensor(0.8465)
tensor(0.8930),124.96371906995773,36.46186448633671,tensor(0.8488)
tensor(0.8862),130.36181746423244,33.02851936221123,tensor(0.8593)
tensor(0.8908),126.02251262962818,32.77278758585453,tensor(0.8650)
tensor(0.8903),126.73256751894951,34.88898387551308,tensor(0.8515)
tensor(0.8909),125.58305601775646,33.21224971115589,tensor(0.8567)
tensor(0.8915),125.8748977035284,34.2290994822979,tensor(0.8570)
tensor(0.8921),126.0954567939043,36.70021188259125,tensor(0.8407)
tensor(0.8887),128.06189346313477,33.903430968523026,tensor(0.8575)
tensor(0.8907),125.89559611678123,39.567979753017426,tensor(0.8329)
tensor(0.8919),123.61716912686825,37.15549290180206,tensor(0.8474)
tensor(0.8890),128.3393961340189,35.71513059735298,tensor(0.8505)
tensor(0.8908),126.14847764372826,38.00690758228302,tensor(0.8434)
tensor(0.8913),125.88465873152018,32.9501528441906,tensor(0.8643)
tensor(0.8908),125.69306670129299,35.99352502822876,tensor(0.8497)
tensor(0.8926),124.45009192824364,36.8801229596138,tensor(0.8482)
tensor(0.8922),124.12155167758465,34.15549594163895,tensor(0.8580)
tensor(0.8923),124.84218071401119,35.59464219212532,tensor(0.8521)
tensor(0.8920),124.34724298119545,38.72086438536644,tensor(0.8407)
tensor(0.8940),123.1999074369669,31.308735638856888,tensor(0.8668)
tensor(0.8929),124.24506030976772,38.426433473825455,tensor(0.8395)
tensor(0.8914),125.40282207727432,35.4343318939209,tensor(0.8533)
tensor(0.8919),125.73234026134014,34.76582419872284,tensor(0.8560)
tensor(0.8912),123.80527006089687,33.42349788546562,tensor(0.8610)
tensor(0.8943),123.64028111100197,38.71975243091583,tensor(0.8410)
tensor(0.8908),125.48391316831112,35.30132448673248,tensor(0.8500)
tensor(0.8905),125.02065318822861,35.916310012340546,tensor(0.8509)
tensor(0.8925),123.24425074458122,39.757858484983444,tensor(0.8341)
tensor(0.8941),122.72596478462219,35.67316547036171,tensor(0.8477)
tensor(0.8929),123.7127386033535,38.362252324819565,tensor(0.8356)
