MCdropout_train_accuracy,MCdropout_train_losss,MCdropout_test_loss,MCdropout_test_accuracy
tensor(0.9660),41.27590937912464,21.656329438090324,tensor(0.9071)
tensor(0.9646),43.19554357603192,19.76245754957199,tensor(0.9190)
tensor(0.9646),43.73174915462732,18.468740791082382,tensor(0.9224)
tensor(0.9644),44.99297632277012,17.419845268130302,tensor(0.9285)
tensor(0.9665),45.82907213270664,17.919768631458282,tensor(0.9265)
tensor(0.9651),47.33059661835432,17.130449801683426,tensor(0.9278)
tensor(0.9655),48.774301789700985,17.620162710547447,tensor(0.9292)
tensor(0.9660),50.21484784409404,17.39616584777832,tensor(0.9308)
tensor(0.9658),52.352975744754076,17.957333654165268,tensor(0.9306)
tensor(0.9645),54.620382852852345,18.292929470539093,tensor(0.9300)
tensor(0.9640),56.39649052172899,19.19044926762581,tensor(0.9295)
tensor(0.9622),58.3760976344347,20.288817659020424,tensor(0.9279)
tensor(0.9596),59.82212130725384,21.295482724905014,tensor(0.9299)
tensor(0.9575),61.97972923517227,23.250611543655396,tensor(0.9249)
tensor(0.9553),63.05850766599178,25.19429251551628,tensor(0.9245)
tensor(0.9521),65.02210096269846,28.3759785592556,tensor(0.9201)
tensor(0.9492),66.6858192756772,31.941636085510254,tensor(0.9154)
tensor(0.9467),68.4891452640295,35.54855626821518,tensor(0.9107)
tensor(0.9459),69.69283559918404,40.07650884985924,tensor(0.9044)
tensor(0.9442),70.5491292476654,18.177091985940933,tensor(0.9235)
