MCdropout_train_accuracy,MCdropout_train_losss,MCdropout_test_loss,MCdropout_test_accuracy
tensor(0.9650),41.73509572818875,20.25627315044403,tensor(0.9158)
tensor(0.9648),43.17439701221883,18.92312517017126,tensor(0.9224)
tensor(0.9650),43.724390152841806,17.894470632076263,tensor(0.9262)
tensor(0.9651),44.62487559765577,17.712591491639614,tensor(0.9247)
tensor(0.9656),46.83334941416979,17.356206566095352,tensor(0.9271)
tensor(0.9659),47.286221493035555,17.862826630473137,tensor(0.9277)
tensor(0.9661),48.815740048885345,17.35864931344986,tensor(0.9303)
tensor(0.9652),51.78898999094963,17.90852376818657,tensor(0.9283)
tensor(0.9649),52.87702817097306,18.107067793607712,tensor(0.9306)
tensor(0.9638),55.41985955834389,18.762788243591785,tensor(0.9304)
tensor(0.9636),56.415090560913086,19.556375861167908,tensor(0.9262)
tensor(0.9627),57.679166957736015,20.39385461807251,tensor(0.9273)
tensor(0.9584),60.65189206600189,21.565133780241013,tensor(0.9263)
tensor(0.9567),60.65625127404928,23.09672713279724,tensor(0.9282)
tensor(0.9540),63.43657650053501,25.17769956588745,tensor(0.9243)
tensor(0.9530),64.37638948857784,27.697809547185898,tensor(0.9213)
tensor(0.9494),67.19615710526705,30.973215401172638,tensor(0.9192)
tensor(0.9488),67.32769827544689,34.14743836224079,tensor(0.9167)
tensor(0.9463),69.83968617022038,37.811237663030624,tensor(0.9115)
tensor(0.9453),70.16626857221127,19.107746206223965,tensor(0.9189)
