SGD-WPV_train_accuracy,SGD-WPV_train_losss,SGD-WPV_test_loss,SGD-WPV_test_accuracy
tensor(0.9644),42.74902379140258,21.040745213627815,tensor(0.9134)
tensor(0.9690),35.46399145014584,20.228123508393764,tensor(0.9164)
tensor(0.9756),29.278545337729156,19.94901817291975,tensor(0.9196)
tensor(0.9764),28.85640907473862,19.64649412035942,tensor(0.9174)
tensor(0.9773),28.663036616519094,20.465792953968048,tensor(0.9146)
tensor(0.9771),28.641947535797954,19.444606885313988,tensor(0.9173)
tensor(0.9778),29.0781902782619,19.964826956391335,tensor(0.9190)
tensor(0.9789),27.925985381007195,19.391887947916985,tensor(0.9177)
tensor(0.9790),28.83516221679747,19.80705952644348,tensor(0.9174)
tensor(0.9801),27.895099706947803,19.268627025187016,tensor(0.9185)
tensor(0.9808),27.81374204531312,19.333105333149433,tensor(0.9197)
tensor(0.9811),27.53443136624992,19.74022912234068,tensor(0.9175)
tensor(0.9812),27.07904590293765,19.073778346180916,tensor(0.9197)
tensor(0.9818),26.601672476157546,19.243302941322327,tensor(0.9194)
tensor(0.9826),26.353629713878036,19.735386557877064,tensor(0.9167)
tensor(0.9827),25.625323420390487,19.565480902791023,tensor(0.9188)
tensor(0.9828),25.30457946099341,19.82438437640667,tensor(0.9171)
tensor(0.9830),24.92080565728247,19.493790209293365,tensor(0.9184)
tensor(0.9841),23.948565281927586,20.18075531721115,tensor(0.9179)
tensor(0.9835),23.618551816791296,12.937263675034046,tensor(0.9450)
