baseline_train_accuracy,baseline_train_losss,baseline_test_loss,baseline_test_accuracy
tensor(0.8961),119.51121711730957,32.72416564822197,tensor(0.8607)
tensor(0.8959),120.13208873569965,34.182206243276596,tensor(0.8522)
tensor(0.8970),120.6438106149435,34.41859523952007,tensor(0.8562)
tensor(0.8947),120.07254130393267,34.69795960187912,tensor(0.8518)
tensor(0.8972),118.9997389614582,32.952163845300674,tensor(0.8601)
tensor(0.8985),117.70343185961246,35.17163681983948,tensor(0.8548)
tensor(0.8949),120.5525472164154,36.35874795913696,tensor(0.8483)
tensor(0.8972),120.69182376563549,36.04110488295555,tensor(0.8507)
tensor(0.8965),118.55884711444378,34.712921530008316,tensor(0.8547)
tensor(0.8963),120.51598607003689,31.102322429418564,tensor(0.8695)
tensor(0.8969),119.1273641884327,35.74341443181038,tensor(0.8552)
tensor(0.8955),120.97131325304508,34.101608604192734,tensor(0.8569)
tensor(0.8954),120.80066655576229,34.11842530965805,tensor(0.8575)
tensor(0.8967),119.58804842829704,35.84374801814556,tensor(0.8475)
tensor(0.8955),120.45862273871899,33.66840450465679,tensor(0.8605)
tensor(0.8977),119.19076436758041,32.740947142243385,tensor(0.8657)
tensor(0.8967),119.05612321197987,39.395805925130844,tensor(0.8445)
tensor(0.8950),119.69997073709965,36.03648400306702,tensor(0.8488)
tensor(0.8962),118.59774960577488,31.402836814522743,tensor(0.8711)
tensor(0.8971),118.01405015587807,38.498119443655014,tensor(0.8432)
