entropy_train_accuracy,entropy_train_losss,entropy_test_loss,entropy_test_accuracy
tensor(0.9636),43.114353481680155,19.796067290008068,tensor(0.9179)
tensor(0.9679),37.317707704380155,20.009064182639122,tensor(0.9190)
tensor(0.9722),32.73206030763686,19.174318745732307,tensor(0.9240)
tensor(0.9758),29.465345099568367,19.289833053946495,tensor(0.9191)
tensor(0.9781),26.62977514229715,20.388061195611954,tensor(0.9186)
tensor(0.9805),24.443834776058793,20.373522393405437,tensor(0.9203)
tensor(0.9816),22.671623105183244,19.398489393293858,tensor(0.9248)
tensor(0.9832),20.513162037357688,20.690637595951557,tensor(0.9197)
tensor(0.9846),19.305862145498395,20.039908938109875,tensor(0.9227)
tensor(0.9870),16.757227210327983,19.618017934262753,tensor(0.9226)
tensor(0.9870),17.023661457002163,20.626979023218155,tensor(0.9216)
tensor(0.9889),15.050595071166754,20.36901170015335,tensor(0.9216)
tensor(0.9897),14.094718219712377,19.882811464369297,tensor(0.9246)
tensor(0.9901),13.365662874653935,19.968567326664925,tensor(0.9237)
tensor(0.9908),12.826473420485854,19.708589404821396,tensor(0.9240)
tensor(0.9917),11.90134015493095,20.49038277566433,tensor(0.9201)
tensor(0.9916),11.869714800268412,20.82387103140354,tensor(0.9201)
tensor(0.9926),11.361293791793287,21.12240981310606,tensor(0.9167)
tensor(0.9918),11.72897906973958,21.49435805529356,tensor(0.9163)
tensor(0.9914),11.76342136412859,15.719598710536957,tensor(0.9437)
