MCdropout_train_accuracy,MCdropout_train_losss,MCdropout_test_loss,MCdropout_test_accuracy
tensor(0.8813),611.4110208824277,140.83508230745792,tensor(0.8556)
tensor(0.8884),584.9753549806774,137.42941145598888,tensor(0.8636)
tensor(0.8876),597.6156022492796,147.30617449432611,tensor(0.8590)
tensor(0.8874),614.2518632858992,153.72152557224035,tensor(0.8595)
tensor(0.8882),619.0818699393421,153.3936106711626,tensor(0.8573)
tensor(0.8862),632.9578853026032,165.09902937710285,tensor(0.8651)
tensor(0.8907),612.9137313216925,171.78642689809203,tensor(0.8557)
tensor(0.8909),633.9134564418346,182.66680398583412,tensor(0.8526)
tensor(0.8909),632.6136560216546,189.08798034489155,tensor(0.8418)
tensor(0.8950),607.6304542757571,160.47158400714397,tensor(0.8496)
tensor(0.9041),547.3337556421757,158.99143955856562,tensor(0.8657)
tensor(0.9061),533.5423482321203,162.40579951927066,tensor(0.8660)
tensor(0.9089),523.5061018299311,164.40535539016128,tensor(0.8664)
tensor(0.9115),508.7466220706701,184.77347454801202,tensor(0.8635)
tensor(0.9110),522.7275502290577,186.5993054062128,tensor(0.8563)
tensor(0.9115),510.74588483572006,188.16310743242502,tensor(0.8646)
tensor(0.9130),508.6148028578609,174.5501192137599,tensor(0.8674)
tensor(0.9136),505.67457887902856,188.73169331252575,tensor(0.8682)
tensor(0.9140),512.658610612154,185.16547343693674,tensor(0.8605)
tensor(0.9135),505.8584110904485,185.1366489008069,tensor(0.8597)
tensor(0.9208),472.1259579267353,194.8793809749186,tensor(0.8689)
tensor(0.9224),463.1203914731741,210.54833668470383,tensor(0.8658)
tensor(0.9231),458.62281151488423,209.04957704991102,tensor(0.8644)
tensor(0.9243),454.1903551975265,210.022659515962,tensor(0.8644)
tensor(0.9248),453.29240203276277,206.61123872548342,tensor(0.8637)
tensor(0.9255),449.6163678430021,234.00949470326304,tensor(0.8608)
tensor(0.9261),447.35087643377483,231.61792442202568,tensor(0.8626)
tensor(0.9276),446.43762498069555,257.8796405568719,tensor(0.8664)
tensor(0.9278),446.5276787392795,233.17236692085862,tensor(0.8642)
tensor(0.9293),440.1261034477502,255.99946393072605,tensor(0.8613)
tensor(0.9300),437.667623789981,253.19098161160946,tensor(0.8639)
tensor(0.9299),437.4879891779274,263.5054912753403,tensor(0.8581)
tensor(0.9309),438.02486542146653,265.13740719109774,tensor(0.8604)
tensor(0.9315),431.76928480528295,278.4741712845862,tensor(0.8617)
tensor(0.9312),435.5694426614791,214.78980267047882,tensor(0.8823)
