SGD-WPV_train_accuracy,SGD-WPV_train_losss,SGD-WPV_test_loss,SGD-WPV_test_accuracy
tensor(0.8691),678.9659643620253,128.85714884102345,tensor(0.8569)
tensor(0.8725),657.7915905751288,135.10260266810656,tensor(0.8537)
tensor(0.8771),619.7362133041024,127.23887871950865,tensor(0.8592)
tensor(0.8744),643.0447870455682,134.6216476559639,tensor(0.8631)
tensor(0.8746),644.5187705382705,130.65556764230132,tensor(0.8642)
tensor(0.8728),669.506317153573,130.26823372393847,tensor(0.8561)
tensor(0.8755),635.2374499887228,129.42067493498325,tensor(0.8615)
tensor(0.8770),634.6996164992452,133.55563630908728,tensor(0.8622)
tensor(0.8754),639.0219130143523,132.58939286321402,tensor(0.8589)
tensor(0.8788),623.5306814908981,127.71810591965914,tensor(0.8674)
tensor(0.8869),569.3354000300169,122.3341314829886,tensor(0.8659)
tensor(0.8895),561.4030703864992,122.07914914935827,tensor(0.8677)
tensor(0.8908),552.3294458203018,124.17801840603352,tensor(0.8704)
tensor(0.8899),541.5506828352809,128.37834814190865,tensor(0.8709)
tensor(0.8921),542.2029506228864,132.41017319262028,tensor(0.8691)
tensor(0.8920),542.6424856968224,125.68485806137323,tensor(0.8712)
tensor(0.8937),534.0265707671642,123.00747054442763,tensor(0.8745)
tensor(0.8941),530.3995470404625,129.90642557293177,tensor(0.8742)
tensor(0.8952),528.195515178144,128.41335447132587,tensor(0.8715)
tensor(0.8953),529.5529115870595,140.29531275480986,tensor(0.8674)
tensor(0.9008),495.64891049824655,131.49885354936123,tensor(0.8753)
tensor(0.9021),489.8841154836118,136.48833173885942,tensor(0.8755)
tensor(0.9032),480.7702327501029,134.4357719272375,tensor(0.8771)
tensor(0.9036),480.47201260365546,138.83094330877066,tensor(0.8748)
tensor(0.9028),479.9395835082978,132.5184520110488,tensor(0.8760)
tensor(0.9036),477.75723022036254,135.13140619546175,tensor(0.8784)
tensor(0.9045),471.4361244626343,133.79963103681803,tensor(0.8775)
tensor(0.9059),467.3404571451247,142.684980340302,tensor(0.8786)
tensor(0.9054),473.02977883443236,144.08225291222334,tensor(0.8789)
tensor(0.9054),465.25215808674693,140.40226888656616,tensor(0.8790)
tensor(0.9058),468.44094979576766,143.12427930533886,tensor(0.8767)
tensor(0.9065),462.03608229383826,143.81585378944874,tensor(0.8781)
tensor(0.9063),467.5145173370838,138.5217532478273,tensor(0.8830)
tensor(0.9067),461.0493159973994,146.19727348908782,tensor(0.8802)
tensor(0.9075),456.4888545740396,131.24542416259646,tensor(0.8843)
