baseline_train_accuracy,baseline_train_losss,baseline_test_loss,baseline_test_accuracy
tensor(0.7902),1075.8186816945672,149.47331254184246,tensor(0.8247)
tensor(0.8363),852.9306353926659,149.13006629049778,tensor(0.8358)
tensor(0.8409),825.8455670922995,146.45269371569157,tensor(0.8297)
tensor(0.8429),820.7755020931363,141.44225439429283,tensor(0.8331)
tensor(0.8446),806.9848759360611,139.72691947221756,tensor(0.8424)
tensor(0.8457),810.5392948240042,147.67576403915882,tensor(0.8359)
tensor(0.8497),798.9406105428934,142.71941815316677,tensor(0.8438)
tensor(0.8519),791.2339111566544,144.503820925951,tensor(0.8419)
tensor(0.8504),794.3665054067969,151.8360546529293,tensor(0.8373)
tensor(0.8520),786.6008220240474,144.03193032741547,tensor(0.8429)
tensor(0.8702),673.3908437937498,125.13993059843779,tensor(0.8565)
tensor(0.8710),664.6823074966669,126.78716779500246,tensor(0.8585)
tensor(0.8739),652.5079216323793,126.07360764592886,tensor(0.8590)
tensor(0.8728),648.6990756765008,127.13991219550371,tensor(0.8592)
tensor(0.8772),631.0685421600938,139.28825602680445,tensor(0.8569)
tensor(0.8767),631.3723476231098,124.99263409525156,tensor(0.8647)
tensor(0.8785),628.6405700221658,121.87582978978753,tensor(0.8670)
tensor(0.8801),618.7879578471184,125.95074302703142,tensor(0.8642)
tensor(0.8816),614.3969915881753,128.9372720643878,tensor(0.8639)
tensor(0.8786),620.0186399333179,129.61015579849482,tensor(0.8639)
tensor(0.8881),557.1722920648754,121.68090335279703,tensor(0.8695)
tensor(0.8898),547.8015370666981,124.72009135782719,tensor(0.8729)
tensor(0.8911),539.0045917443931,125.47844104468822,tensor(0.8732)
tensor(0.8942),530.2857354525477,121.78785482794046,tensor(0.8736)
tensor(0.8941),528.7387570440769,125.37448491156101,tensor(0.8706)
tensor(0.8947),527.1539695821702,131.15110024809837,tensor(0.8744)
tensor(0.8955),525.8719802908599,125.22057772427797,tensor(0.8717)
tensor(0.8967),516.3746829107404,123.97378420829773,tensor(0.8746)
tensor(0.8965),517.0530569776893,126.83756729215384,tensor(0.8755)
tensor(0.8965),515.5173632577062,128.24722109735012,tensor(0.8725)
tensor(0.9021),487.8169143535197,136.85239595919847,tensor(0.8794)
tensor(0.9027),477.3639367222786,135.43716419115663,tensor(0.8774)
tensor(0.9032),475.55363389104605,132.5539356432855,tensor(0.8776)
tensor(0.9036),476.1691608801484,128.25818679854274,tensor(0.8753)
tensor(0.9053),466.7798665333539,130.27424562722445,tensor(0.8779)
tensor(0.9049),472.3985152617097,138.39143976569176,tensor(0.8775)
tensor(0.9050),464.3174957912415,139.23588874191046,tensor(0.8767)
tensor(0.9054),467.8646362069994,144.22111603617668,tensor(0.8761)
tensor(0.9058),466.64569478854537,140.66024758853018,tensor(0.8799)
tensor(0.9054),460.93859496247023,137.80527413263917,tensor(0.8818)
tensor(0.9064),455.1675132839009,139.9866296350956,tensor(0.8790)
tensor(0.9053),468.5522019919008,133.93843000754714,tensor(0.8797)
tensor(0.9072),451.7767472695559,137.94096307083964,tensor(0.8762)
tensor(0.9077),450.19652922451496,139.06389383226633,tensor(0.8805)
tensor(0.9076),454.7349016247317,129.79744762182236,tensor(0.8849)
