baseline_train_accuracy,baseline_train_losss,baseline_test_loss,baseline_test_accuracy
tensor(0.7857),1089.2202000394464,157.13975924253464,tensor(0.8221)
tensor(0.8340),872.801238514483,148.1209014430642,tensor(0.8327)
tensor(0.8432),831.2689289152622,144.6649484410882,tensor(0.8422)
tensor(0.8439),831.2641006335616,142.42256739735603,tensor(0.8452)
tensor(0.8461),819.9736546725035,139.02711465209723,tensor(0.8465)
tensor(0.8510),795.1816761828959,142.37796126306057,tensor(0.8435)
tensor(0.8515),797.1063558682799,148.18705405294895,tensor(0.8383)
tensor(0.8489),805.8968305587769,142.86250487715006,tensor(0.8388)
tensor(0.8495),806.083162009716,140.34671346843243,tensor(0.8497)
tensor(0.8504),795.3559358417988,148.5679301470518,tensor(0.8456)
tensor(0.8705),680.902213819325,136.4705559015274,tensor(0.8559)
tensor(0.8750),659.8657900542021,129.0949555337429,tensor(0.8570)
tensor(0.8767),645.3712644726038,126.34837915748358,tensor(0.8604)
tensor(0.8802),633.0080617591739,124.84283236414194,tensor(0.8624)
tensor(0.8763),636.528869394213,127.99495542049408,tensor(0.8643)
tensor(0.8801),629.0310084074736,133.83931186050177,tensor(0.8502)
tensor(0.8786),626.4206409528852,127.5097089484334,tensor(0.8691)
tensor(0.8820),616.5946672186255,125.16644896566868,tensor(0.8673)
tensor(0.8819),607.1929248049855,127.53493693470955,tensor(0.8637)
tensor(0.8830),604.3831856846809,124.80190550535917,tensor(0.8670)
tensor(0.8923),549.6578156538308,125.24443157017231,tensor(0.8691)
tensor(0.8944),538.1118315048516,124.62154321745038,tensor(0.8731)
tensor(0.8953),524.0057641696185,124.33142013475299,tensor(0.8760)
tensor(0.8949),524.8831563703716,130.14264434576035,tensor(0.8724)
tensor(0.8954),524.9714306723326,133.43979872390628,tensor(0.8719)
tensor(0.8981),515.829764470458,133.94952622056007,tensor(0.8755)
tensor(0.8980),513.5695533119142,125.4125349149108,tensor(0.8741)
tensor(0.8961),523.9868408031762,120.19868050515652,tensor(0.8764)
tensor(0.8996),503.4588924180716,141.05323355272412,tensor(0.8747)
tensor(0.9002),504.0078882649541,137.9802476093173,tensor(0.8724)
tensor(0.9050),470.87145237997174,135.02745189517736,tensor(0.8770)
tensor(0.9063),460.98711484111845,144.4216749817133,tensor(0.8789)
tensor(0.9071),462.0612119883299,137.04555569030344,tensor(0.8793)
tensor(0.9079),456.9694918617606,142.69716104120016,tensor(0.8790)
tensor(0.9072),458.1848111525178,145.27959975600243,tensor(0.8764)
tensor(0.9079),451.5437346845865,141.0616149045527,tensor(0.8766)
tensor(0.9089),450.5868833269924,140.5709748491645,tensor(0.8767)
tensor(0.9096),447.42702058143914,142.70117503404617,tensor(0.8786)
tensor(0.9095),448.130803341046,147.1657389551401,tensor(0.8741)
tensor(0.9090),447.20790188387036,140.0700774937868,tensor(0.8785)
tensor(0.9101),441.3871464058757,150.0202201232314,tensor(0.8758)
tensor(0.9096),442.263416133821,148.39451600052416,tensor(0.8758)
tensor(0.9099),440.9399706311524,144.37163534760475,tensor(0.8748)
tensor(0.9107),438.971424324438,156.86912961304188,tensor(0.8765)
tensor(0.9097),448.52301263064146,134.42925279214978,tensor(0.8826)
