entropy_train_accuracy,entropy_train_losss,entropy_test_loss,entropy_test_accuracy
tensor(0.8705),716.6693470478058,145.96444015204906,tensor(0.8554)
tensor(0.8732),747.6296176463366,158.3023518063128,tensor(0.8603)
tensor(0.8700),823.9614391531795,158.35498593002558,tensor(0.8610)
tensor(0.8722),833.1260537952185,171.94905496388674,tensor(0.8573)
tensor(0.8759),801.9522217679769,191.7253582328558,tensor(0.8587)
tensor(0.8777),818.6756048984826,165.94323216751218,tensor(0.8598)
tensor(0.8787),876.2609783038497,184.22663241624832,tensor(0.8690)
tensor(0.8794),829.6630864199251,194.38976091891527,tensor(0.8516)
tensor(0.8802),858.7709269095212,173.18211579322815,tensor(0.8669)
tensor(0.8795),913.0288233272731,210.59917989373207,tensor(0.8664)
tensor(0.8889),854.1968698613346,187.40314926952124,tensor(0.8667)
tensor(0.8913),835.3432047665119,197.54426300153136,tensor(0.8711)
tensor(0.8924),836.4633776824921,195.0946787595749,tensor(0.8747)
tensor(0.8955),749.8282602000982,202.38067742437124,tensor(0.8705)
tensor(0.8938),766.9093142263591,186.3769262060523,tensor(0.8703)
tensor(0.8936),754.1091167074628,179.2114696521312,tensor(0.8728)
tensor(0.8928),740.5236443765461,171.11827667802572,tensor(0.8720)
tensor(0.8938),733.4850942734629,175.45499010384083,tensor(0.8749)
tensor(0.8983),730.3247520467266,195.8643151819706,tensor(0.8752)
tensor(0.8982),726.5854903701693,213.32776200771332,tensor(0.8703)
tensor(0.9024),718.9785152152181,191.110284820199,tensor(0.8747)
tensor(0.9042),677.4594718068838,172.82809289731085,tensor(0.8776)
tensor(0.9045),636.4967259690166,173.93037160858512,tensor(0.8804)
tensor(0.9048),657.7993200924248,176.65829169750214,tensor(0.8803)
tensor(0.9038),678.7475863741711,163.74715864658356,tensor(0.8780)
tensor(0.9065),650.2280296552926,183.99244858324528,tensor(0.8788)
tensor(0.9075),678.0121976360679,173.40611409023404,tensor(0.8789)
tensor(0.9071),645.2769607100636,175.87373111769557,tensor(0.8784)
tensor(0.9071),657.9934522258118,192.95061257109046,tensor(0.8809)
tensor(0.9071),651.9969380106777,188.69598631188273,tensor(0.8769)
tensor(0.9078),648.1638522101566,185.37030671536922,tensor(0.8764)
tensor(0.9104),654.7717288266867,165.8095007892698,tensor(0.8789)
tensor(0.9086),639.8286728523672,190.31357848271728,tensor(0.8793)
tensor(0.9087),648.9206869490445,185.11087556183338,tensor(0.8778)
tensor(0.9089),643.7850301265717,162.173238389194,tensor(0.8847)
